Year,Ranking Sub-Category,Rank,State
2021,Prevalence of Mental Illness,01,New Jersey
2021,Prevalence of Mental Illness,02,Texas
2021,Prevalence of Mental Illness,03,New York
2021,Prevalence of Mental Illness,04,Pennsylvania
2021,Prevalence of Mental Illness,05,Georgia
2021,Prevalence of Mental Illness,06,Maryland
2021,Prevalence of Mental Illness,07,Mississippi
2021,Prevalence of Mental Illness,08,Florida
2021,Prevalence of Mental Illness,09,Tennessee
2021,Prevalence of Mental Illness,10,Hawaii
2021,Prevalence of Mental Illness,11,Alabama
2021,Prevalence of Mental Illness,12,Virginia
2021,Prevalence of Mental Illness,13,Nebraska
2021,Prevalence of Mental Illness,14,California
2021,Prevalence of Mental Illness,15,South Dakota
2021,Prevalence of Mental Illness,16,Minnesota
2021,Prevalence of Mental Illness,17,South Carolina
2021,Prevalence of Mental Illness,18,Louisiana
2021,Prevalence of Mental Illness,19,Illinois
2021,Prevalence of Mental Illness,20,Connecticut
2021,Prevalence of Mental Illness,21,Michigan
2021,Prevalence of Mental Illness,22,Kansas
2021,Prevalence of Mental Illness,23,Kentucky
2021,Prevalence of Mental Illness,24,North Carolina
2021,Prevalence of Mental Illness,25,Delaware
2021,Prevalence of Mental Illness,26,North Dakota
2021,Prevalence of Mental Illness,27,Ohio
2021,Prevalence of Mental Illness,28,Rhode Island
2021,Prevalence of Mental Illness,29,Missouri
2021,Prevalence of Mental Illness,30,Massachusetts
2021,Prevalence of Mental Illness,31,Arkansas
2021,Prevalence of Mental Illness,32,Arizona
2021,Prevalence of Mental Illness,33,New Hampshire
2021,Prevalence of Mental Illness,34,District of Columbia
2021,Prevalence of Mental Illness,35,Wyoming
2021,Prevalence of Mental Illness,36,Iowa
2021,Prevalence of Mental Illness,37,Indiana
2021,Prevalence of Mental Illness,38,New Mexico
2021,Prevalence of Mental Illness,39,Wisconsin
2021,Prevalence of Mental Illness,40,Oklahoma
2021,Prevalence of Mental Illness,41,West Virginia
2021,Prevalence of Mental Illness,42,Montana
2021,Prevalence of Mental Illness,43,Nevada
2021,Prevalence of Mental Illness,44,Alaska
2021,Prevalence of Mental Illness,45,Maine
2021,Prevalence of Mental Illness,46,Washington
2021,Prevalence of Mental Illness,47,Utah
2021,Prevalence of Mental Illness,48,Colorado
2021,Prevalence of Mental Illness,49,Idaho
2021,Prevalence of Mental Illness,50,Vermont
2021,Prevalence of Mental Illness,51,Oregon
