Year,Ranking Category,Ranking Sub-Category,Rank,State,Percentage,Number
2021,Youth Data,Youth with Severe MDE,01,Mississippi,6.3,15000
2021,Youth Data,Youth with Severe MDE,02,Alabama,6.4,23000
2021,Youth Data,Youth with Severe MDE,03,District of Columbia,6.8,2000
2021,Youth Data,Youth with Severe MDE,04,Pennsylvania,7.1,64000
2021,Youth Data,Youth with Severe MDE,05,New York,7.8,105000
2021,Youth Data,Youth with Severe MDE,06,South Dakota,8,5000
2021,Youth Data,Youth with Severe MDE,07,New Jersey,8.1,54000
2021,Youth Data,Youth with Severe MDE,08,Hawaii,8.5,8000
2021,Youth Data,Youth with Severe MDE,09,North Dakota,8.5,4000
2021,Youth Data,Youth with Severe MDE,10,Massachusetts,8.5,40000
2021,Youth Data,Youth with Severe MDE,11,California,8.7,256000
2021,Youth Data,Youth with Severe MDE,12,Colorado,8.7,36000
2021,Youth Data,Youth with Severe MDE,13,New Hampshire,8.7,8000
2021,Youth Data,Youth with Severe MDE,14,Connecticut,9,24000
2021,Youth Data,Youth with Severe MDE,15,Nebraska,9,14000
2021,Youth Data,Youth with Severe MDE,16,Ohio,9.1,79000
2021,Youth Data,Youth with Severe MDE,17,Texas,9.2,219000
2021,Youth Data,Youth with Severe MDE,18,Louisiana,9.2,33000
2021,Youth Data,Youth with Severe MDE,19,Tennessee,9.2,46000
2021,Youth Data,Youth with Severe MDE,20,Florida,9.3,128000
2021,Youth Data,Youth with Severe MDE,21,Georgia,9.3,78000
2021,Youth Data,Youth with Severe MDE,22,Delaware,9.3,6000
2021,Youth Data,Youth with Severe MDE,23,Rhode Island,9.5,7000
2021,Youth Data,Youth with Severe MDE,24,Kentucky,9.6,31000
2021,Youth Data,Youth with Severe MDE,25,Iowa,9.8,23000
2021,Youth Data,Youth with Severe MDE,26,Maryland,9.8,42000
2021,Youth Data,Youth with Severe MDE,27,Minnesota,9.8,41000
2021,Youth Data,Youth with Severe MDE,28,South Carolina,9.8,36000
2021,Youth Data,Youth with Severe MDE,29,Kansas,9.9,23000
2021,Youth Data,Youth with Severe MDE,30,Virginia,10.2,62000
2021,Youth Data,Youth with Severe MDE,31,Washington,10.3,53000
2021,Youth Data,Youth with Severe MDE,32,Montana,10.4,8000
2021,Youth Data,Youth with Severe MDE,33,Missouri,10.4,47000
2021,Youth Data,Youth with Severe MDE,34,Alaska,10.7,6000
2021,Youth Data,Youth with Severe MDE,35,Arkansas,10.7,25000
2021,Youth Data,Youth with Severe MDE,36,Vermont,10.7,4000
2021,Youth Data,Youth with Severe MDE,37,Illinois,11,104000
2021,Youth Data,Youth with Severe MDE,38,Michigan,11.3,84000
2021,Youth Data,Youth with Severe MDE,39,Nevada,11.8,26000
2021,Youth Data,Youth with Severe MDE,40,Utah,11.9,36000
2021,Youth Data,Youth with Severe MDE,41,Wyoming,12,5000
2021,Youth Data,Youth with Severe MDE,42,West Virginia,12.5,15000
2021,Youth Data,Youth with Severe MDE,43,Arizona,12.5,66000
2021,Youth Data,Youth with Severe MDE,44,North Carolina,12.6,98000
2021,Youth Data,Youth with Severe MDE,45,Idaho,12.7,19000
2021,Youth Data,Youth with Severe MDE,46,Indiana,12.7,66000
2021,Youth Data,Youth with Severe MDE,47,Oklahoma,12.7,39000
2021,Youth Data,Youth with Severe MDE,48,Oregon,13.1,37000
2021,Youth Data,Youth with Severe MDE,49,New Mexico,13.1,21000
2021,Youth Data,Youth with Severe MDE,50,Wisconsin,13.4,58000
2021,Youth Data,Youth with Severe MDE,51,Maine,13.5,12000
2021,Youth Data,Youth with Severe MDE,,National,9.7,2343000
