Year,Ranking Category,Ranking Sub-Category,Rank,State,Percentage,Number
2020,Adult Data,Adult Prevalence Of Mental Illness,01,New Jersey,16.19,"1,115,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,02,Hawaii,16.27,"173,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,03,Texas,16.32,"3,309,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,04,Illinois,16.76,"1,627,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,05,Maryland,16.94,"778,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,06,Florida,17.54,"2,861,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,07,New York,17.61,"2,713,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,08,South Dakota,17.70,"113,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,09,New Mexico,17.73,"276,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,10,Nebraska,17.88,"252,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,11,Pennsylvania,17.98,"1,786,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,12,North Carolina,18.02,"1,387,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,13,Arizona,18.02,"944,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,14,Georgia,18.07,"1,385,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,15,California,18.18,"5,419,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,16,Connecticut,18.18,"506,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,17,Minnesota,18.21,"765,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,18,North Dakota,18.30,"103,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,19,Michigan,18.34,"1,405,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,20,Wisconsin,18.54,"822,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,21,South Carolina,18.56,"704,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,22,Delaware,18.65,"138,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,23,Virginia,18.78,"1,195,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,24,Nevada,18.87,"424,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,25,Maine,19.01,"203,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,26,Iowa,19.02,"450,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,27,Mississippi,19.04,"420,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,28,Louisiana,19.11,"663,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,29,New Hampshire,19.15,"203,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,30,Tennessee,19.24,"977,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,31,Rhode Island,19.59,"164,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,32,Kansas,19.71,"421,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,33,Montana,19.78,"159,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,34,Vermont,19.84,"99,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,35,Ohio,19.85,"1,759,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,36,Colorado,19.86,"838,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,37,Alabama,19.95,"737,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,38,Oklahoma,20.02,"578,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,39,Missouri,20.05,"925,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,40,Wyoming,20.25,"88,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,41,Alaska,20.32,"107,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,42,Massachusetts,20.57,"1,109,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,43,Arkansas,20.73,"464,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,44,Indiana,20.90,"1,041,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,45,District of Columbia,21.17,"117,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,46,Kentucky,22.29,"747,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,47,Washington,22.81,"1,277,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,48,West Virginia,22.89,"326,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,49,Utah,23.47,"500,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,50,Oregon,23.59,"757,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,51,Idaho,25.03,"310,000"
2020,Adult Data,Adult Prevalence Of Mental Illness,52,National,18.57,"45,641,000"
