Ranking Category,Ranking Sub-Category,Rank,State,Percentage,Number
Adult Data,Adults with AMI who are Uninsured,01,Massachusetts,2.7,"32,000"
Adult Data,Adults with AMI who are Uninsured,02,Iowa,3.3,"15,000"
Adult Data,Adults with AMI who are Uninsured,03,District of Columbia,3.8,"5,000"
Adult Data,Adults with AMI who are Uninsured,04,New York,4,"107,000"
Adult Data,Adults with AMI who are Uninsured,05,Connecticut,5.1,"26,000"
Adult Data,Adults with AMI who are Uninsured,06,Vermont,6,"6,000"
Adult Data,Adults with AMI who are Uninsured,07,Maryland,6.1,"49,000"
Adult Data,Adults with AMI who are Uninsured,08,Minnesota,6.1,"44,000"
Adult Data,Adults with AMI who are Uninsured,09,Michigan,6.2,"86,000"
Adult Data,Adults with AMI who are Uninsured,10,Colorado,6.4,"54,000"
Adult Data,Adults with AMI who are Uninsured,11,Wisconsin,6.4,"52,000"
Adult Data,Adults with AMI who are Uninsured,12,Rhode Island,6.8,"11,000"
Adult Data,Adults with AMI who are Uninsured,13,West Virginia,6.8,"23,000"
Adult Data,Adults with AMI who are Uninsured,14,Ohio,6.9,"123,000"
Adult Data,Adults with AMI who are Uninsured,15,Arizona,7.1,"63,000"
Adult Data,Adults with AMI who are Uninsured,16,New Hampshire,7.1,"14,000"
Adult Data,Adults with AMI who are Uninsured,17,Arkansas,7.2,"35,000"
Adult Data,Adults with AMI who are Uninsured,18,Kentucky,7.2,"56,000"
Adult Data,Adults with AMI who are Uninsured,19,New Jersey,7.2,"80,000"
Adult Data,Adults with AMI who are Uninsured,20,Delaware,7.3,"10,000"
Adult Data,Adults with AMI who are Uninsured,21,Pennsylvania,7.5,"133,000"
Adult Data,Adults with AMI who are Uninsured,22,California,7.7,"422,000"
Adult Data,Adults with AMI who are Uninsured,23,Hawaii,8,"14,000"
Adult Data,Adults with AMI who are Uninsured,24,Oregon,8.3,"65,000"
Adult Data,Adults with AMI who are Uninsured,25,New Mexico,8.4,"23,000"
Adult Data,Adults with AMI who are Uninsured,26,Washington,8.8,"118,000"
Adult Data,Adults with AMI who are Uninsured,27,Illinois,9.2,"141,000"
Adult Data,Adults with AMI who are Uninsured,28,Indiana,9.5,"102,000"
Adult Data,Adults with AMI who are Uninsured,29,Montana,9.7,"15,000"
Adult Data,Adults with AMI who are Uninsured,30,Nebraska,10.2,"24,000"
Adult Data,Adults with AMI who are Uninsured,31,Alaska,10.3,"11,000"
Adult Data,Adults with AMI who are Uninsured,32,North Dakota,10.3,"10,000"
Adult Data,Adults with AMI who are Uninsured,33,North Carolina,10.8,"151,000"
Adult Data,Adults with AMI who are Uninsured,34,Nevada,10.9,"48,000"
Adult Data,Adults with AMI who are Uninsured,35,Utah,11.3,"59,000"
Adult Data,Adults with AMI who are Uninsured,36,South Dakota,11.5,"12,000"
Adult Data,Adults with AMI who are Uninsured,37,Virginia,12.4,"147,000"
Adult Data,Adults with AMI who are Uninsured,38,South Carolina,12.7,"88,000"
Adult Data,Adults with AMI who are Uninsured,39,Missouri,13,"124,000"
Adult Data,Adults with AMI who are Uninsured,40,Maine,14.1,"28,000"
Adult Data,Adults with AMI who are Uninsured,41,Oklahoma,14.1,"81,000"
Adult Data,Adults with AMI who are Uninsured,42,Kansas,14.6,"61,000"
Adult Data,Adults with AMI who are Uninsured,43,Louisiana,14.7,"97,000"
Adult Data,Adults with AMI who are Uninsured,44,Idaho,15.2,"51,000"
Adult Data,Adults with AMI who are Uninsured,45,Florida,16,"461,000"
Adult Data,Adults with AMI who are Uninsured,46,Tennessee,16,"151,000"
Adult Data,Adults with AMI who are Uninsured,47,Alabama,16.6,"123,000"
Adult Data,Adults with AMI who are Uninsured,48,Mississippi,18.3,"77,000"
Adult Data,Adults with AMI who are Uninsured,49,Georgia,20.3,"278,000"
Adult Data,Adults with AMI who are Uninsured,50,Texas,21.4,"694,000"
Adult Data,Adults with AMI who are Uninsured,51,Wyoming,22.9,"20,000"
,,,National,10.3,"4,720,000"
