Year,Ranking Category,Ranking Sub-Category,Rank,State,Percentage,Number
2019,Youth Data,Did Not Cover Mental or Emotional Problems,01,Massachusetts,3.2,"9,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,02,Connecticut,4.1,"7,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,03,Washington,4.2,"11,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,04,New Hampshire,4.3,"3,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,05,Wisconsin,4.6,"12,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,06,New Mexico,4.7,"3,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,07,Michigan,5,"21,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,08,South Dakota,5.1,"2,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,09,Minnesota,5.2,"12,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,10,Kansas,5.5,"7,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,11,Delaware,5.7,"2,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,12,Indiana,5.7,"16,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,13,Vermont,5.7,"1,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,14,Alaska,5.8,"1,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,15,Maryland,5.8,"15,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,16,Pennsylvania,5.8,"28,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,17,Missouri,6,"14,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,18,Colorado,6.1,"13,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,19,Montana,6.2,"2,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,20,Oregon,6.3,"8,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,21,Rhode Island,6.3,"3,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,22,Illinois,6.5,"31,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,23,New York,6.8,"47,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,24,Kentucky,6.9,"11,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,25,New Jersey,7.4,"29,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,26,District of Columbia,7.5,"1,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,27,Maine,7.5,"4,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,28,Iowa,7.6,"11,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,29,Tennessee,7.6,"18,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,30,Idaho,7.7,"5,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,31,North Dakota,8,"2,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,32,Georgia,8.2,"31,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,33,North Carolina,8.2,"26,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,34,California,8.5,"110,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,35,Utah,8.6,"16,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,36,Virginia,8.6,"28,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,37,Ohio,8.7,"42,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,38,West Virginia,9,"5,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,39,Arkansas,9.2,"8,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,40,Nebraska,9.4,"7,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,41,South Carolina,9.4,"15,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,42,Florida,9.9,"52,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,43,Arizona,10.1,"25,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,44,Hawaii,11,"4,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,45,Nevada,11.2,"12,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,46,Texas,11.5,"103,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,47,Wyoming,11.5,"3,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,48,Oklahoma,12.9,"15,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,49,Alabama,13.6,"21,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,50,Louisiana,16.8,"24,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,51,Mississippi,21.9,"13,000"
2019,Youth Data,Did Not Cover Mental or Emotional Problems,52,National,7.8,"910,000"
