Year,Ranking Category,Ranking Sub-Category,Rank,State,Percentage,Number
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,01,Hawaii,12.45,"177,535"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,02,Iowa,12.64,"54,455"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,03,Vermont,12.66,"13,144"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,04,North Dakota,13.26,"129,891"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,05,New Hampshire,13.47,"28,019"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,06,Massachusetts,13.64,"141,320"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,07,District of Columbia,14.19,"13,597"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,08,Minnesota,14.38,"104,523"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,09,Illinois,15.38,"262,507"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,10,Maine,15.89,"40,150"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,11,South Dakota,16.11,"21,437"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,12,Rhode Island,16.18,"27,887"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,13,Washington,17.3,"219,597"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,14,Colorado,17.3,"133,762"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,15,Connecticut,17.53,"93,597"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,16,Wisconsin,17.53,"93,597"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,17,Ohio,17.59,"319,279"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,18,Montana,18.21,"34,492"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,19,Maryland,18.27,"143,733"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,20,California,18.46,"1,006,308"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,21,New York,18.79,"531,331"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,22,Kansas,19.02,"79,714"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,23,Oregon,19.23,"152,156"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,24,Nebraska,19.39,"48,379"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,25,Delaware,19.48,"28,943"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,26,West Virginia,20.03,"82,178"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,27,Pennsylvania,20.07,"392,965"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,28,Idaho,20.74,"56,031"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,29,Alaska,20.98,"23,610"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,30,New Mexico,21.09,"72,475"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,31,Kentucky,21.21,"188,778"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,32,Wyoming,21.3,"20,759"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,33,Michigan,21.43,"363,203"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,34,Virginia,21.65,"243,521"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,35,Utah,22.06,"77,733"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,36,New Jersey,22.35,"258,348"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,37,Indiana,22.86,"237,916"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,38,Missouri,23.54,"272,719"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,39,Arkansas,24.11,"249,660"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,40,Arizona,24.14,"249,660"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,41,Nevada,24.75,"109,424"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,42,Tennessee,25.21,"309,380"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,43,North Carolina,25.4,"418,833"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,44,Oklahoma,25.45,"188,785"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,45,Alabama,25.96,"407,162"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,46,Georgia,26.96,"407,162"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,47,Flordia,27.11,"875,479"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,48,South Carolina,28.12,"244,082"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,49,Louisiana,28.73,"225,771"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,50,Texas,29.19,"170,133"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,51,Mississippi,30.91,"170,133"
2019,Adult Data,Disability Could Not See a Doctor Due to Costs,52,National,21.62,"10,663,174"
