year,Ranking Category,Ranking Sub-Category,Rank,State,Percentage,Number
2019,Youth Data,Individualized Education Program,01,Vermont,27.72,2071
2019,Youth Data,Individualized Education Program,02,Minnesota,19.34,15192
2019,Youth Data,Individualized Education Program,03,Massachusetts,17.95,15593
2019,Youth Data,Individualized Education Program,04,Wisconsin,16.18,12217
2019,Youth Data,Individualized Education Program,05,Pennsylvania,15.13,24033
2019,Youth Data,Individualized Education Program,06,Maine,13.73,2243
2019,Youth Data,Individualized Education Program,07,Indiana,13.35,12698
2019,Youth Data,Individualized Education Program,08,District of Columbia,13.17,848
2019,Youth Data,Individualized Education Program,09,Iowa,12.91,5680
2019,Youth Data,Individualized Education Program,10,New Hampshire,12.25,2052
2019,Youth Data,Individualized Education Program,11,Rhode Island,12.14,1574
2019,Youth Data,Individualized Education Program,12,Connecticut,11.27,5440
2019,Youth Data,Individualized Education Program,13,Illinois,10.24,18623
2019,Youth Data,Individualized Education Program,14,Ohio,9.73,15172
2019,Youth Data,Individualized Education Program,15,New York,9.71,23924
2019,Youth Data,Individualized Education Program,16,South Dakota,9.6,1148
2019,Youth Data,Individualized Education Program,17,North Dakota,9.32,909
2019,Youth Data,Individualized Education Program,18,Oregon,9.24,4944
2019,Youth Data,Individualized Education Program,19,Nebraska,8.99,2489
2019,Youth Data,Individualized Education Program,20,Virginia,8.17,9470
2019,Youth Data,Individualized Education Program,21,Michigan,8.11,11144
2019,Youth Data,Individualized Education Program,22,Missouri,8,6554
2019,Youth Data,Individualized Education Program,23,Maryland,7.96,6239
2019,Youth Data,Individualized Education Program,24,Mississippi,7.88,3506
2019,Youth Data,Individualized Education Program,25,Delaware,7.59,936
2019,Youth Data,Individualized Education Program,26,Kentucky,7.37,4495
2019,Youth Data,Individualized Education Program,27,Arizona,7.17,7315
2019,Youth Data,Individualized Education Program,28,Georgia,7.01,11090
2019,Youth Data,Individualized Education Program,29,Colorado,6.9,5535
2019,Youth Data,Individualized Education Program,30,Oklahoma,6.76,4038
2019,Youth Data,Individualized Education Program,31,Wyoming,6.39,552
2019,Youth Data,Individualized Education Program,32,New Mexico,6.27,1897
2019,Youth Data,Individualized Education Program,33,Florida,6.16,15613
2019,Youth Data,Individualized Education Program,34,Montana,6.16,817
2019,Youth Data,Individualized Education Program,35,New Jersey,6.16,7718
2019,Youth Data,Individualized Education Program,36,Hawaii,5.91,978
2019,Youth Data,Individualized Education Program,37,Texas,5.82,27233
2019,Youth Data,Individualized Education Program,38,Alaska,5.59,663
2019,Youth Data,Individualized Education Program,39,Kansas,5.35,2355
2019,Youth Data,Individualized Education Program,40,Idaho,5.21,1401
2019,Youth Data,Individualized Education Program,41,West Virginia,5.09,1232
2019,Youth Data,Individualized Education Program,42,Washington,4.97,4942
2019,Youth Data,Individualized Education Program,43,Nevada,4.31,1841
2019,Youth Data,Individualized Education Program,44,California,4.29,24460
2019,Youth Data,Individualized Education Program,45,North Carolina,3.83,5404
2019,Youth Data,Individualized Education Program,46,Tennessee,3.63,3258
2019,Youth Data,Individualized Education Program,47,South Carolina,3.37,2305
2019,Youth Data,Individualized Education Program,48,Utah,3.1,1813
2019,Youth Data,Individualized Education Program,49,Louisiana,2.74,1746
2019,Youth Data,Individualized Education Program,50,Arkansas,2.09,918
2019,Youth Data,Individualized Education Program,51,Alabama,1.97,1333
2019,Youth Data,Individualized Education Program,52,National,7.36,345651
