Year,Ranking Category,Ranking Sub-Category,Rank,State,Percentage,Number
2019,Youth Data,Severe Major Depressive Episode,01,New Jersey,6.1,"41,000"
2019,Youth Data,Severe Major Depressive Episode,02,North Dakota,6.2,"3,000"
2019,Youth Data,Severe Major Depressive Episode,03,South Dakota,6.2,"4,000"
2019,Youth Data,Severe Major Depressive Episode,04,Georgia,6.3,"52,000"
2019,Youth Data,Severe Major Depressive Episode,05,Kentucky,6.3,"21,000"
2019,Youth Data,Severe Major Depressive Episode,06,Hawaii,7.1,"7,000"
2019,Youth Data,Severe Major Depressive Episode,07,Montana,7.1,"5,000"
2019,Youth Data,Severe Major Depressive Episode,08,New Mexico,7.1,"11,000"
2019,Youth Data,Severe Major Depressive Episode,09,Louisiana,7.4,"26,000"
2019,Youth Data,Severe Major Depressive Episode,10,New York,7.5,"103,000"
2019,Youth Data,Severe Major Depressive Episode,11,South Carolina,7.5,"27,000"
2019,Youth Data,Severe Major Depressive Episode,12,District of Columbia,7.6,"2,000"
2019,Youth Data,Severe Major Depressive Episode,13,Texas,7.8,"181,000"
2019,Youth Data,Severe Major Depressive Episode,14,Vermont,7.9,"3,000"
2019,Youth Data,Severe Major Depressive Episode,15,California,8,"237,000"
2019,Youth Data,Severe Major Depressive Episode,16,Connecticut,8,"22,000"
2019,Youth Data,Severe Major Depressive Episode,17,Kansas,8,"18,000"
2019,Youth Data,Severe Major Depressive Episode,18,Alabama,8.1,"30,000"
2019,Youth Data,Severe Major Depressive Episode,19,Nebraska,8.2,"12,000"
2019,Youth Data,Severe Major Depressive Episode,20,Illinois,8.3,"82,000"
2019,Youth Data,Severe Major Depressive Episode,21,Tennessee,8.5,"41,000"
2019,Youth Data,Severe Major Depressive Episode,22,Michigan,8.6,"66,000"
2019,Youth Data,Severe Major Depressive Episode,23,Delaware,8.7,"6,000"
2019,Youth Data,Severe Major Depressive Episode,24,Pennsylvania,8.8,"79,000"
2019,Youth Data,Severe Major Depressive Episode,25,Mississippi,8.9,"21,000"
2019,Youth Data,Severe Major Depressive Episode,26,New Hampshire,8.9,"9,000"
2019,Youth Data,Severe Major Depressive Episode,27,Utah,9.1,"26,000"
2019,Youth Data,Severe Major Depressive Episode,28,Florida,9.2,"125,000"
2019,Youth Data,Severe Major Depressive Episode,29,Iowa,9.2,"22,000"
2019,Youth Data,Severe Major Depressive Episode,30,Oklahoma,9.2,"28,000"
2019,Youth Data,Severe Major Depressive Episode,31,Arkansas,9.3,"22,000"
2019,Youth Data,Severe Major Depressive Episode,32,Ohio,9.3,"83,000"
2019,Youth Data,Severe Major Depressive Episode,33,Maryland,9.5,"42,000"
2019,Youth Data,Severe Major Depressive Episode,34,North Carolina,9.5,"72,000"
2019,Youth Data,Severe Major Depressive Episode,35,Virginia,9.5,"57,000"
2019,Youth Data,Severe Major Depressive Episode,36,Minnesota,9.7,"40,000"
2019,Youth Data,Severe Major Depressive Episode,37,Wyoming,9.7,"4,000"
2019,Youth Data,Severe Major Depressive Episode,38,Colorado,9.8,"40,000"
2019,Youth Data,Severe Major Depressive Episode,39,Arizona,9.9,"53,000"
2019,Youth Data,Severe Major Depressive Episode,40,Missouri,9.9,"45,000"
2019,Youth Data,Severe Major Depressive Episode,41,Maine,10,"9,000"
2019,Youth Data,Severe Major Depressive Episode,42,Washington,10,"52,000"
2019,Youth Data,Severe Major Depressive Episode,43,Alaska,10.1,"6,000"
2019,Youth Data,Severe Major Depressive Episode,44,Wisconsin,10.2,"45,000"
2019,Youth Data,Severe Major Depressive Episode,45,Massachusetts,10.6,"50,000"
2019,Youth Data,Severe Major Depressive Episode,46,West Virginia,10.7,"13,000"
2019,Youth Data,Severe Major Depressive Episode,47,Idaho,11.2,"16,000"
2019,Youth Data,Severe Major Depressive Episode,48,Rhode Island,11.8,"8,000"
2019,Youth Data,Severe Major Depressive Episode,49,Oregon,12.2,"35,000"
2019,Youth Data,Severe Major Depressive Episode,50,Indiana,12.3,"64,000"
2019,Youth Data,Severe Major Depressive Episode,51,Nevada,12.7,"27,000"
2019,Youth Data,Severe Major Depressive Episode,52,National,8.7,"2,096,000"
