Year,Ranking Category,Ranking Sub-Category,Rank,State,Percentage,Number
2019,Youth Data,Substance Use Disorder in the Past Year,01,Pennsylvania,3.55,"33,000"
2019,Youth Data,Substance Use Disorder in the Past Year,02,Virginia,3.71,"23,000"
2019,Youth Data,Substance Use Disorder in the Past Year,03,Georgia,3.74,"32,000"
2019,Youth Data,Substance Use Disorder in the Past Year,04,New Jersey,3.83,"27,000"
2019,Youth Data,Substance Use Disorder in the Past Year,05,Alabama,3.87,"15,000"
2019,Youth Data,Substance Use Disorder in the Past Year,06,Mississippi,3.87,"9,000"
2019,Youth Data,Substance Use Disorder in the Past Year,07,Maryland,3.98,"18,000"
2019,Youth Data,Substance Use Disorder in the Past Year,08,Tennessee,4.04,"21,000"
2019,Youth Data,Substance Use Disorder in the Past Year,09,Kentucky,4.1,"14,000"
2019,Youth Data,Substance Use Disorder in the Past Year,10,North Carolina,4.13,"32,000"
2019,Youth Data,Substance Use Disorder in the Past Year,11,Utah,4.16,"12,000"
2019,Youth Data,Substance Use Disorder in the Past Year,12,Arkansas,4.16,"10,000"
2019,Youth Data,Substance Use Disorder in the Past Year,13,Indiana,4.23,"23,000"
2019,Youth Data,Substance Use Disorder in the Past Year,14,Hawaii,4.28,"4,000"
2019,Youth Data,Substance Use Disorder in the Past Year,15,Ohio,4.29,"39,000"
2019,Youth Data,Substance Use Disorder in the Past Year,16,South Carolina,4.29,"16,000"
2019,Youth Data,Substance Use Disorder in the Past Year,17,Florida,4.3,"60,000"
2019,Youth Data,Substance Use Disorder in the Past Year,18,Delaware,4.32,"3,000"
2019,Youth Data,Substance Use Disorder in the Past Year,19,Louisiana,4.34,"16,000"
2019,Youth Data,Substance Use Disorder in the Past Year,20,Oklahoma,4.35,"14,000"
2019,Youth Data,Substance Use Disorder in the Past Year,21,Nebraska,4.43,"7,000"
2019,Youth Data,Substance Use Disorder in the Past Year,22,Missouri,4.44,"21,000"
2019,Youth Data,Substance Use Disorder in the Past Year,23,New York,4.46,"63,000"
2019,Youth Data,Substance Use Disorder in the Past Year,24,Texas,4.54,"109,000"
2019,Youth Data,Substance Use Disorder in the Past Year,25,Massachusetts,4.54,"22,000"
2019,Youth Data,Substance Use Disorder in the Past Year,26,New Hampshire,4.56,"4,000"
2019,Youth Data,Substance Use Disorder in the Past Year,27,Michigan,4.75,"37,000"
2019,Youth Data,Substance Use Disorder in the Past Year,28,Iowa,4.78,"12,000"
2019,Youth Data,Substance Use Disorder in the Past Year,29,Kansas,4.88,"12,000"
2019,Youth Data,Substance Use Disorder in the Past Year,30,Minnesota,5,"21,000"
2019,Youth Data,Substance Use Disorder in the Past Year,31,West Virginia,5,"6,000"
2019,Youth Data,Substance Use Disorder in the Past Year,32,Connecticut,5,"14,000"
2019,Youth Data,Substance Use Disorder in the Past Year,33,Maine,5.02,"5,000"
2019,Youth Data,Substance Use Disorder in the Past Year,34,California,5.07,"154,000"
2019,Youth Data,Substance Use Disorder in the Past Year,35,Wisconsin,5.16,"23,000"
2019,Youth Data,Substance Use Disorder in the Past Year,36,Illinois,5.21,"53,000"
2019,Youth Data,Substance Use Disorder in the Past Year,37,Idaho,5.39,"8,000"
2019,Youth Data,Substance Use Disorder in the Past Year,38,Vermont,5.41,"2,000"
2019,Youth Data,Substance Use Disorder in the Past Year,39,North Dakota,5.43,"3,000"
2019,Youth Data,Substance Use Disorder in the Past Year,40,Washington,5.43,"29,000"
2019,Youth Data,Substance Use Disorder in the Past Year,41,Nevada,5.45,"12,000"
2019,Youth Data,Substance Use Disorder in the Past Year,42,Arizona,5.62,"31,000"
2019,Youth Data,Substance Use Disorder in the Past Year,43,Rhode Island,5.62,"4,000"
2019,Youth Data,Substance Use Disorder in the Past Year,44,District of Columbia,5.72,"2,000"
2019,Youth Data,Substance Use Disorder in the Past Year,45,South Dakota,5.78,"4,000"
2019,Youth Data,Substance Use Disorder in the Past Year,46,Oregon,5.98,"17,000"
2019,Youth Data,Substance Use Disorder in the Past Year,47,Wyoming,6.37,"3,000"
2019,Youth Data,Substance Use Disorder in the Past Year,48,Montana,6.39,"5,000"
2019,Youth Data,Substance Use Disorder in the Past Year,49,Colorado,6.73,"28,000"
2019,Youth Data,Substance Use Disorder in the Past Year,50,New Mexico,7.15,"12,000"
2019,Youth Data,Substance Use Disorder in the Past Year,51,Alaska,8.33,"5,000"
2019,Youth Data,Substance Use Disorder in the Past Year,52,National,4.61,"1,148,000"
