Ranking Category,Ranking Sub-Category,Rank,State,Percentage,Number
Youth Data,Substance Use Disorder in the Past Year,1,Georgia,3.182475035,"27,000"
Youth Data,Substance Use Disorder in the Past Year,2,Pennsylvania,3.185802626,"29,000"
Youth Data,Substance Use Disorder in the Past Year,3,Indiana,3.291448092,"18,000"
Youth Data,Substance Use Disorder in the Past Year,4,New Jersey,3.342732377,"23,000"
Youth Data,Substance Use Disorder in the Past Year,5,Maryland,3.449672251,"16,000"
Youth Data,Substance Use Disorder in the Past Year,6,Mississippi,3.493247299,"9,000"
Youth Data,Substance Use Disorder in the Past Year,7,Texas,3.614661795,"88,000"
Youth Data,Substance Use Disorder in the Past Year,8,Kentucky,3.620369457,"12,000"
Youth Data,Substance Use Disorder in the Past Year,9,North Carolina,3.627702805,"29,000"
Youth Data,Substance Use Disorder in the Past Year,10,Virginia,3.645123485,"23,000"
Youth Data,Substance Use Disorder in the Past Year,11,Missouri,3.719937618,"17,000"
Youth Data,Substance Use Disorder in the Past Year,12,Utah,3.839603996,"12,000"
Youth Data,Substance Use Disorder in the Past Year,13,Tennessee,3.855519348,"20,000"
Youth Data,Substance Use Disorder in the Past Year,14,Michigan,3.869633218,"30,000"
Youth Data,Substance Use Disorder in the Past Year,15,Louisiana,3.886166165,"14,000"
Youth Data,Substance Use Disorder in the Past Year,16,Hawaii,3.925247869,"4,000"
Youth Data,Substance Use Disorder in the Past Year,17,Alabama,3.961135797,"15,000"
Youth Data,Substance Use Disorder in the Past Year,18,Ohio,3.991856442,"36,000"
Youth Data,Substance Use Disorder in the Past Year,19,New York,4.038806972,"57,000"
Youth Data,Substance Use Disorder in the Past Year,20,Nebraska,4.048445012,"6,000"
Youth Data,Substance Use Disorder in the Past Year,21,South Carolina,4.086818098,"15,000"
Youth Data,Substance Use Disorder in the Past Year,22,Kansas,4.088204261,"10,000"
Youth Data,Substance Use Disorder in the Past Year,23,Arkansas,4.103869488,"10,000"
Youth Data,Substance Use Disorder in the Past Year,24,Iowa,4.177114319,"10,000"
Youth Data,Substance Use Disorder in the Past Year,25,Wisconsin,4.231806383,"19,000"
Youth Data,Substance Use Disorder in the Past Year,26,New Hampshire,4.254965351,"4,000"
Youth Data,Substance Use Disorder in the Past Year,27,Massachusetts,4.260760958,"21,000"
Youth Data,Substance Use Disorder in the Past Year,28,Minnesota,4.274638216,"18,000"
Youth Data,Substance Use Disorder in the Past Year,29,Delaware,4.321874967,"3,000"
Youth Data,Substance Use Disorder in the Past Year,30,Oklahoma,4.359725042,"14,000"
Youth Data,Substance Use Disorder in the Past Year,31,North Dakota,4.385811586,"2,000"
Youth Data,Substance Use Disorder in the Past Year,32,West Virginia,4.419896883,"6,000"
Youth Data,Substance Use Disorder in the Past Year,33,Florida,4.535326733,"64,000"
Youth Data,Substance Use Disorder in the Past Year,34,California,4.625460574,"140,000"
Youth Data,Substance Use Disorder in the Past Year,35,Connecticut,4.639595161,"13,000"
Youth Data,Substance Use Disorder in the Past Year,36,Idaho,4.646841263,"7,000"
Youth Data,Substance Use Disorder in the Past Year,37,Illinois,4.666726976,"47,000"
Youth Data,Substance Use Disorder in the Past Year,38,Rhode Island,4.689070325,"3,000"
Youth Data,Substance Use Disorder in the Past Year,39,Maine,4.746754906,"4,000"
Youth Data,Substance Use Disorder in the Past Year,40,Arizona,4.769366312,"26,000"
Youth Data,Substance Use Disorder in the Past Year,41,District of Columbia,5.143210752,"2,000"
Youth Data,Substance Use Disorder in the Past Year,42,Washington,5.180724175,"28,000"
Youth Data,Substance Use Disorder in the Past Year,43,Nevada,5.195238999,"12,000"
Youth Data,Substance Use Disorder in the Past Year,44,Oregon,5.304943479,"16,000"
Youth Data,Substance Use Disorder in the Past Year,45,Wyoming,5.400402884,"2,000"
Youth Data,Substance Use Disorder in the Past Year,46,Vermont,5.465448491,"2,000"
Youth Data,Substance Use Disorder in the Past Year,47,South Dakota,5.586386863,"4,000"
Youth Data,Substance Use Disorder in the Past Year,48,Colorado,5.597954012,"24,000"
Youth Data,Substance Use Disorder in the Past Year,49,New Mexico,6.014429216,"10,000"
Youth Data,Substance Use Disorder in the Past Year,50,Montana,6.295415565,"5,000"
Youth Data,Substance Use Disorder in the Past Year,51,Alaska,6.539439208,"4,000"
